,eta,M,M_sqr,U,U_sqr,flip_count,K
0,0.1,156.24109375,25965.9865625,-39.537000000000006,1617.1703562500002,30836428.0,6400.0
1,0.15000000000000002,201.259375,42489.30125,-75.04384375000001,5749.088984375001,7244398.0,1600.0
2,0.20000000000000004,268.0009375,74241.891875,-129.06803125000002,16878.142593750003,13203413.0,3200.0
3,0.25000000000000006,369.215625,139330.46875,-210.893125,44896.258781250006,5742771.0,1600.0
4,0.30000000000000004,510.565,263885.115,-330.4075,109852.96935000003,2326675.0,800.0
5,0.3500000000000001,677.4575,461558.22,-491.7777500000001,242814.29312500008,1705263.0,800.0
6,0.40000000000000013,812.755,662031.28,-668.1575000000003,447350.3552000003,574473.0,400.0
7,0.42,853.07,728811.48,-738.1549999999999,545682.482976,240235.0,200.0
8,0.425,860.08,740488.48,-752.323,566583.11975,58525.0,50.0
9,0.43,869.08875,756231.9375,-768.8297500000001,591876.527993,888287.0,800.0
10,0.435,875.98,768612.08,-784.0765000000001,615850.2194930001,106478.0,100.0
11,0.44,883.565,781503.105,-801.1867500000001,642647.7963860001,816189.0,800.0
12,0.445,894.275,800397.27,-819.843825,672819.6012247499,193341.0,200.0
13,0.45,899.20125,809284.7375,-833.8947187499999,696119.2808468752,1485809.0,1600.0
14,0.455,906.025,821492.47,-849.467425,722216.61357775,176580.0,200.0
15,0.46,908.7,826294.44,-862.2348000000001,744072.6530720001,86686.0,100.0
16,0.465,915.335,838429.65,-880.008425,775133.94931575,164088.0,200.0
17,0.47000000000000003,920.115,847137.19,-892.9761,798006.33894,157530.0,200.0
18,0.47500000000000003,925.4,856889.3,-908.155375,825359.8610562502,150211.0,200.0
19,0.48000000000000004,931.16,867626.82,-924.9008000000001,856118.4762,142396.0,200.0
20,0.48500000000000004,935.6275,875838.07,-937.8416562499999,880123.0696613127,549988.0,800.0
21,0.49000000000000005,938.58,881395.16,-949.2411999999999,901698.3760880001,32547.0,50.0
22,0.49500000000000005,944.44,892262.56,-966.8171500000001,935210.2490095001,62361.0,100.0
23,0.5,947.11,897369.16,-979.8085000000001,960542.3921,121072.0,200.0
24,0.55,977.44,955585.92,-1114.3090000000002,1242144.4219000002,19552.0,50.0
25,0.6000000000000001,994.6,989337.92,-1236.5440000000003,1529334.1136000005,13053.0,50.0
26,0.6500000000000001,1004.36,1008801.68,-1350.7110000000002,1824651.1347000012,8771.0,50.0
27,0.7000000000000002,1010.86,1021884.44,-1460.9900000000002,2134697.6596000013,6199.0,50.0
28,0.7500000000000002,1014.36,1028959.12,-1567.7310000000004,2457942.021700002,4109.0,50.0
29,0.8000000000000003,1018.1,1036543.4,-1673.9700000000005,2802281.4788000016,2699.0,50.0
