,eta,M,M_sqr,U,U_sqr,flip_count,K
0,0.1,888.27,789311.46,-1039.224,1080491.2612,126059.0,100.0
1,0.15000000000000002,928.205,861758.74,-1174.985375,1381032.3988375003,361205.0,400.0
2,0.20000000000000004,958.24,918366.08,-1308.0600000000004,1711427.9248000004,31923.0,50.0
3,0.25000000000000006,978.81,958179.46,-1434.2025,2057313.29375,44292.0,100.0
4,0.30000000000000004,992.39,984912.54,-1553.5610000000001,2413853.4690000005,30272.0,100.0
5,0.3500000000000001,1002.84,1005731.36,-1670.4930000000002,2790768.0813000007,10365.0,50.0
6,0.40000000000000013,1009.22,1018553.24,-1781.652,3174446.8528000005,7258.0,50.0
7,0.42,1011.86,1023886.84,-1826.9036,3337734.655216,6151.0,50.0
8,0.425,1011.5,1023161.24,-1835.4049999999997,3368899.7638499998,5938.0,50.0
9,0.43,1012.4,1024990.72,-1847.6406,3413996.2926760004,5701.0,50.0
10,0.435,1012.82,1025826.36,-1858.2250999999999,3453145.1774910004,5577.0,50.0
11,0.44,1012.9,1025989.64,-1868.4095999999997,3491102.443648,5252.0,50.0
12,0.445,1013.14,1026471.8,-1878.2823,3528076.8945789994,5041.0,50.0
13,0.45,1014.68,1029593.92,-1892.36,3581151.2157999994,4900.0,50.0
14,0.455,1014.21,1028642.26,-1900.80935,3613215.7428550003,19104.0,200.0
15,0.46,1014.06,1028335.56,-1910.2411999999997,3649149.1556000006,4689.0,50.0
16,0.465,1015.56,1031383.2,-1924.1886000000002,3702649.9409699994,4261.0,50.0
17,0.47000000000000003,1015.42,1031094.04,-1933.2830000000004,3737696.479932001,4320.0,50.0
18,0.47500000000000003,1015.26,1030770.52,-1942.8685,3774861.2619750006,4098.0,50.0
19,0.48000000000000004,1015.95,1032173.42,-1954.4124,3819863.7959360005,7792.0,100.0
20,0.48500000000000004,1016.8,1033896.64,-1966.2359999999999,3866194.7706000004,3659.0,50.0
21,0.49000000000000005,1016.6,1033491.68,-1975.8240000000003,3903999.393528001,3496.0,50.0
22,0.49500000000000005,1017.6,1035519.76,-1988.0871,3952569.732463,3427.0,50.0
23,0.5,1017.44,1035198.8,-1997.69,3990877.83,3265.0,50.0
24,0.55,1019.48,1039348.4,-2101.891,4418022.8343,2368.0,50.0
25,0.6000000000000001,1020.66,1041752.68,-2203.92,4857319.984000001,1542.0,50.0
26,0.6500000000000001,1021.7,1043876.28,-2306.2040000000006,5318627.625800001,1026.0,50.0
27,0.7000000000000002,1022.44,1045386.48,-2407.5719999999997,5796435.753600001,779.0,50.0
28,0.7500000000000002,1023.1,1046735.72,-2508.8350000000005,6294278.907500002,534.0,50.0
29,0.8000000000000003,1023.52,1047594.08,-2609.424000000001,6809105.913600005,335.0,50.0
