,eta,M,M_sqr,U,U_sqr
0,0.1,156.083203125,25896.62984375,8.310562500000001,93.164015625
1,0.15000000000000002,201.03765625,42336.6625,34.62406250000001,1245.5946578125004
2,0.20000000000000004,266.7703125,73641.360625,75.50803125000002,5791.160456250002
3,0.25000000000000006,369.4146875,139555.395625,137.12860937500002,18973.987620312506
4,0.30000000000000004,513.75578125,267120.2540625,228.77112500000004,52657.17990000002
5,0.3500000000000001,676.74,460020.12,355.5600000000002,126923.06620000006
6,0.40000000000000013,811.70625,660269.0675,505.17587500000025,255756.99547500018
7,0.45000000000000007,899.17875,809245.88,654.04209375,428271.2811406252
8,0.5000000000000001,947.6275,898360.92,791.0710000000003,626179.9104500003
9,0.5500000000000002,977.48,955666.16,919.1965000000002,845254.5273500005
10,0.6000000000000002,994.97,990075.3,1037.0050000000003,1075667.8842000007
11,0.6500000000000001,1003.06,1006226.6,1148.4610000000002,1319207.4657000005
12,0.7000000000000002,1009.6,1019341.04,1256.9420000000005,1580054.2932000011
13,0.7500000000000002,1015.615,1031499.43,1366.5822500000004,1867650.6346750013
14,0.8000000000000002,1018.21,1036766.82,1471.0110000000004,2163957.201000001
