,eta,M,M_sqr,U,U_sqr
0,0.1,889.52,791506.56,-738.2460000000001,545133.4692
1,0.15000000000000002,929.415,864053.35,-682.01775,465215.00207499997
2,0.20000000000000004,959.82,921368.36,-609.136,371059.40159999987
3,0.25000000000000006,977.86,956295.16,-523.0799999999999,273618.25499999995
4,0.30000000000000004,993.8,987710.32,-431.27599999999984,186001.09839999996
5,0.3500000000000001,1001.02,1002091.64,-335.4739999999999,112548.80819999991
6,0.40000000000000013,1009.8,1019724.88,-236.76799999999977,56066.55679999988
7,0.45000000000000007,1014.08,1028379.6,-137.49799999999988,18915.254999999965
8,0.5000000000000001,1017.56,1035442.76,-37.11999999999977,1387.6999999999832
9,0.5500000000000002,1019.66,1039713.96,62.982000000000326,3974.63560000004
10,0.6000000000000002,1021.1,1042651.72,163.00000000000037,26578.057600000124
11,0.6500000000000001,1021.8,1044080.4,262.7040000000003,69021.98060000017
12,0.7000000000000002,1022.6,1045714.08,362.84000000000043,131659.85360000026
13,0.7500000000000002,1023.08,1046694.56,462.5650000000003,213970.9325000004
14,0.8000000000000002,1023.38,1047307.64,562.0600000000002,315915.17920000036
